;;;;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 2;Kupon Nr 2;Kupon Nr 2;Kupon Nr 2; Kupon Nr 2 ;Kupon Nr 3;Kupon Nr 3;Kupon Nr 3;Kupon Nr 3; Kupon Nr 3 ;Kupon Nr 4;Kupon Nr 4;Kupon Nr 4;Kupon Nr 4; Kupon Nr 4 ;Kupon Nr 5;Kupon Nr 5;Kupon Nr 5;Kupon Nr 5; Kupon Nr 5 ;Kupon Nr 6;Kupon Nr 6;Kupon Nr 6;Kupon Nr 6; Kupon Nr 6 ;Kupon Nr 7;Kupon Nr 7;Kupon Nr 7;Kupon Nr 7; Kupon Nr 7 ;Kupon Nr 8;Kupon Nr 8;Kupon Nr 8;Kupon Nr 8; Kupon Nr 8 ;Kupon Nr 9;Kupon Nr 9;Kupon Nr 9;Kupon Nr 9; Kupon Nr 9 ;Kupon Nr 10;Kupon Nr 10;Kupon Nr 10;Kupon Nr 10; Kupon Nr 10 ;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 12;Kupon Nr 12;Kupon Nr 12;Kupon Nr 12; Kupon Nr 12 ;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 14;Kupon Nr 14;Kupon Nr 14;Kupon Nr 14; Kupon Nr 14 ;Kupon Nr 15;Kupon Nr 15;Kupon Nr 15;Kupon Nr 15; Kupon Nr 15 ;Kupon Nr 16;Kupon Nr 16;Kupon Nr 16;Kupon Nr 16; Kupon Nr 16 ;Kupon Nr 17;Kupon Nr 17;Kupon Nr 17;Kupon Nr 17; Kupon Nr 17 ;Kupon Nr 18;Kupon Nr 18;Kupon Nr 18;Kupon Nr 18; Kupon Nr 18 ;Kupon Nr 19;Kupon Nr 19;Kupon Nr 19;Kupon Nr 19; Kupon Nr 19 ;Kupon Nr 20;Kupon Nr 20;Kupon Nr 20;Kupon Nr 20; Kupon Nr 20 ;Kupon Nr 21;Kupon Nr 21;Kupon Nr 21;Kupon Nr 21; Kupon Nr 21 ;Kupon Nr 22;Kupon Nr 22;Kupon Nr 22;Kupon Nr 22; Kupon Nr 22 ;Kupon Nr 23;Kupon Nr 23;Kupon Nr 23;Kupon Nr 23; Kupon Nr 23 ;Kupon Nr 24;Kupon Nr 24;Kupon Nr 24;Kupon Nr 24; Kupon Nr 24 ;Kupon Nr 25;Kupon Nr 25;Kupon Nr 25;Kupon Nr 25; Kupon Nr 25 ;Kupon Nr 26;Kupon Nr 26;Kupon Nr 26;Kupon Nr 26; Kupon Nr 26 ;Kupon Nr 27;Kupon Nr 27;Kupon Nr 27;Kupon Nr 27; Kupon Nr 27 ;Kupon Nr 28;Kupon Nr 28;Kupon Nr 28;Kupon Nr 28; Kupon Nr 28 ;Kupon Nr 29;Kupon Nr 29;Kupon Nr 29;Kupon Nr 29; Kupon Nr 29 ;Kupon Nr 30;Kupon Nr 30;Kupon Nr 30;Kupon Nr 30; Kupon Nr 30 
OS1000;PL0000100418;2000-10-12;13,00%;1995-09-12;1995-10-12;1995-10-05;1995-10-12;10,68;1995-10-12;1996-10-12;1996-10-01;1996-10-14; 130,00    ;1996-10-12;1997-10-12;1997-09-30;1997-10-13; 130,00    ;1997-10-12;1998-10-12;1998-09-29;1998-10-12; 130,00    ;1998-10-12;1999-10-12;1999-09-29;1999-10-12; 130,00    ;1999-10-12;2000-10-12;2000-09-29;2000-10-12; 130,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS1000;PL0000101044;2000-10-12;13,00%;1998-06-12;1998-10-12;1998-09-29;1998-10-12;43,45;1998-10-12;1999-10-12;1999-09-29;1999-10-12; 130,00    ;1999-10-12;2000-10-12;2000-09-29;2000-10-12; 130,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0201;PL0000100442;2001-02-12;13,00%;1995-11-12;1996-02-12;1996-02-05;1996-02-12;32,77;1996-02-12;1997-02-12;1997-01-30;1997-02-12; 130,00    ;1997-02-12;1998-02-12;1998-01-30;1998-02-12; 130,00    ;1998-02-12;1999-02-12;1999-02-01;1999-02-12; 130,00    ;1999-02-12;2000-02-12;2000-02-01;2000-02-14; 130,00    ;2000-02-12;2001-02-12;2001-01-30;2001-02-12; 130,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS0201;PL0000101176;2001-02-12;13,00%;1998-10-12;1999-02-12;1999-02-01;1999-02-12;43,81;1999-02-12;2000-02-12;2000-02-01;2000-02-14; 130,00    ;2000-02-12;2001-02-12;2001-01-30;2001-02-12; 130,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0601;PL0000100509;2001-06-12;12,00%;1996-03-12;1996-06-12;1996-06-05;1996-06-12;30,25;1996-06-12;1997-06-12;1997-05-30;1997-06-12; 120,00    ;1997-06-12;1998-06-12;1998-05-29;1998-06-12; 120,00    ;1998-06-12;1999-06-12;1999-05-31;1999-06-14; 120,00    ;1999-06-12;2000-06-12;2000-05-30;2000-06-12; 120,00    ;2000-06-12;2001-06-12;2001-05-30;2001-06-12; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS0601;PL0000101184;2001-06-12;12,00%;1999-02-12;1999-06-12;1999-05-31;1999-06-14;39,45;1999-06-12;2000-06-12;2000-05-30;2000-06-12; 120,00    ;2000-06-12;2001-06-12;2001-05-30;2001-06-12; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS1001;PL0000100574;2001-10-12;12,00%;1996-07-12;1996-10-12;1996-10-05;1996-10-14;30,25;1996-10-12;1997-10-12;1997-09-30;1997-10-13; 120,00    ;1997-10-12;1998-10-12;1998-09-29;1998-10-12; 120,00    ;1998-10-12;1999-10-12;1999-05-31;1999-10-12; 120,00    ;1999-10-12;2000-10-12;2000-09-29;2000-10-12; 120,00    ;2000-10-12;2001-10-12;2001-10-01;2001-10-12; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS1001;PL0000101192;2001-10-12;12,00%;1999-06-12;1999-10-12;1999-09-29;1999-10-12;40,11;1999-10-12;2000-10-12;2000-09-29;2000-10-12; 120,00    ;2000-10-12;2001-10-12;2001-10-01;2001-10-12; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0202;PL0000100632;2002-02-12;12,00%;1996-11-12;1997-02-12;1997-02-05;1997-02-12;30,25;1997-02-12;1998-02-12;1998-01-30;1998-02-12; 120,00    ;1998-02-12;1999-02-12;1999-02-01;1999-02-12; 120,00    ;1999-02-12;2000-02-12;2000-02-01;2000-02-14; 120,00    ;2000-02-12;2001-02-12;2001-01-30;2001-02-12; 120,00    ;2001-02-12;2002-02-12;2002-01-30;2002-02-12; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0602;PL0000100723;2002-06-12;12,00%;1997-02-12;1997-06-12;1997-05-30;1997-06-12;39,45;1997-06-12;1998-06-12;1998-05-29;1998-06-12; 120,00    ;1998-06-12;1999-06-12;1999-05-31;1999-06-14; 120,00    ;1999-06-12;2000-06-12;2000-05-30;2000-06-12; 120,00    ;2000-06-12;2001-06-12;2001-05-30;2001-06-12; 120,00    ;2001-06-12;2002-06-12;2002-05-29;2002-06-12; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS1002;PL0000100780;2002-10-12;12,00%;1997-06-12;1997-10-12;1997-09-30;1997-10-13;40,11;1997-10-12;1998-10-12;1998-09-29;1998-10-12; 120,00    ;1998-10-12;1999-10-12;1999-09-29;1999-10-12; 120,00    ;1999-10-12;2000-10-12;2000-09-29;2000-10-12; 120,00    ;2000-10-12;2001-10-12;2001-10-01;2001-10-12; 120,00    ;2001-10-12;2002-10-12;2002-10-01;2002-10-14; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TK1202;PL0000101416;2002-12-22;10,00%;1999-10-01;1999-12-22;1999-12-09;1999-12-22;22,47;1999-12-22;2000-12-22;2000-12-11;2000-12-22; 100,00    ;2000-12-22;2001-12-22;2001-12-11;2001-12-24; 100,00    ;2001-12-22;2002-12-22;2002-12-10;2002-12-23; 100,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0203;PL0000100863;2003-02-12;12,00%;1997-10-12;1998-02-12;1998-01-30;1998-02-12;40,44;1998-02-12;1999-02-12;1999-02-01;1999-02-12; 120,00    ;1999-02-12;2000-02-12;2000-02-01;2000-02-14; 120,00    ;2000-02-12;2001-02-12;2001-01-30;2001-02-12; 120,00    ;2001-02-12;2002-02-12;2002-01-30;2002-02-12; 120,00    ;2002-02-12;2003-02-12;2003-01-30;2003-02-12; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CK0403;PL0000101424;2003-04-22;10,00%;1999-10-01;2000-04-22;2000-04-11;2000-04-25;55,74;2000-04-22;2001-04-22;2001-04-09;2001-04-23; 100,00    ;2001-04-22;2002-04-22;2002-04-09;2002-04-22; 100,00    ;2002-04-22;2003-04-22;2003-04-08;2003-04-22; 100,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0603;PL0000100996;2003-06-12;12,00%;1998-02-12;1998-06-12;1998-05-29;1998-06-12;39,45;1998-06-12;1999-06-12;1999-05-31;1999-06-14; 120,00    ;1999-06-12;2000-06-12;2000-05-30;2000-06-12; 120,00    ;2000-06-12;2001-06-12;2001-05-30;2001-06-12; 120,00    ;2001-06-12;2002-06-12;2002-05-29;2002-06-12; 120,00    ;2002-06-12;2003-06-12;2003-05-30;2003-06-12; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS1003;PL0000101051;2003-10-12;12,00%;1998-06-12;1998-10-12;1998-09-29;1998-10-12;40,11;1998-10-12;1999-10-12;1999-09-29;1999-10-12; 120,00    ;1999-10-12;2000-10-12;2000-09-29;2000-10-12; 120,00    ;2000-10-12;2001-10-12;2001-10-01;2001-10-12; 120,00    ;2001-10-12;2002-10-12;2002-10-01;2002-10-14; 120,00    ;2002-10-12;2003-10-12;2003-09-30;2003-10-13; 120,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0204;PL0000101200;2004-02-12;10,00%;1998-10-12;1999-02-12;1999-02-01;1999-02-12;33,70;1999-02-12;2000-02-12;2000-02-01;2000-02-14; 100,00    ;2000-02-12;2001-02-12;2001-01-30;2001-02-12; 100,00    ;2001-02-12;2002-02-12;2002-01-30;2002-02-12; 100,00    ;2002-02-12;2003-02-12;2003-01-30;2003-02-12; 100,00    ;2003-02-12;2004-02-12;2004-01-30;2004-02-12; 100,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0604;PL0000101218;2004-06-12;10,00%;1999-02-12;1999-06-12;1999-05-31;1999-06-14;32,88;1999-06-12;2000-06-12;2000-05-30;2000-06-12; 100,00    ;2000-06-12;2001-06-12;2001-05-30;2001-06-12; 100,00    ;2001-06-12;2002-06-12;2002-05-29;2002-06-12; 100,00    ;2002-06-12;2003-06-12;2003-05-30;2003-06-12; 100,00    ;2003-06-12;2004-06-12;2004-05-31;2004-06-14; 100,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK0704;PL0000101432;2004-07-22;8,50%;1999-10-01;2000-07-22;2000-07-11;2000-07-24;68,51;2000-07-22;2001-07-22;2001-07-10;2001-07-23; 85,00    ;2001-07-22;2002-07-22;2002-07-09;2002-07-22; 85,00    ;2002-07-22;2003-07-22;2003-07-09;2003-07-22; 85,00    ;2003-07-22;2004-07-22;2004-07-09;2004-07-22; 85,00    ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS1004;PL0000101226;2004-10-12;10,00%;1999-06-12;1999-10-12;1999-09-29;1999-10-12;33,42;1999-10-12;2000-10-12;2000-09-29;2000-10-12; 100,00    ;2000-10-12;2001-10-12;2001-10-01;2001-10-12; 100,00    ;2001-10-12;2002-10-12;2002-10-01;2002-10-14; 100,00    ;2002-10-12;2003-10-12;2003-09-30;2003-10-13; 100,00    ;2003-10-12;2004-10-12;2004-09-29;2004-10-12; 100,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS1004;PL0000101374;2004-10-12;8,50%;1999-10-12;2000-10-12;2000-09-29;2000-10-12;85,00;2000-10-12;2001-10-12;2001-10-01;2001-10-12; 85,00    ;2001-10-12;2002-10-12;2002-10-01;2002-10-12; 85,00    ;2002-10-12;2003-10-12;2003-09-30;2003-10-13; 85,00    ;2003-10-12;2004-10-12;2004-09-29;2004-10-12; 85,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0205;PL0000101564;2005-02-12;8,50%;2000-02-12;2001-02-12;2001-01-30;2001-02-12;85,00;2001-02-12;2002-02-12;2002-01-30;2002-02-12; 85,00    ;2002-02-12;2003-02-12;2003-01-30;2003-02-12; 85,00    ;2003-02-12;2004-02-12;2004-01-30;2004-02-12; 85,00    ;2004-02-12;2005-02-12;2005-02-01;2005-02-14; 85,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0605;PL0000101721;2005-06-12;8,50%;2000-06-12;2001-06-12;2001-06-01;2001-06-12;85,00;2001-06-12;2002-06-12;2002-06-03;2002-06-12; 85,00    ;2002-06-12;2003-06-12;2003-06-03;2003-06-12; 85,00    ;2003-06-12;2004-06-12;2004-06-03;2004-06-14; 85,00    ;2004-06-12;2005-06-12;2005-06-02;2005-06-13; 85,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS1005;PL0000101887;2005-10-12;8,50%;2000-10-12;2001-10-12;2001-10-03;2001-10-12;85,00;2001-10-12;2002-10-12;2002-10-03;2002-10-14; 85,00    ;2002-10-12;2003-10-12;2003-10-02;2003-10-13; 85,00    ;2003-10-12;2004-10-12;2004-10-01;2004-10-12; 85,00    ;2004-10-12;2005-10-12;2005-10-03;2005-10-12; 85,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0206;PL0000102026;2006-02-12;8,50%;2001-02-12;2002-02-12;2002-02-01;2002-02-12;85,00;2002-02-12;2003-02-12;2003-02-03;2003-02-12; 85,00    ;2003-02-12;2004-02-12;2004-02-03;2004-02-12; 85,00    ;2004-02-12;2005-02-12;2005-02-03;2005-02-14; 85,00    ;2005-02-12;2006-02-12;2006-02-02;2006-02-13; 85,00    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0506;PL0000102125;2006-05-12;8,50%;2001-05-12;2002-05-12;2002-04-30;2002-05-13;85,00;2002-05-12;2003-05-12;2003-04-30;2003-05-12; 85,00    ;2003-05-12;2004-05-12;2004-04-30;2004-05-12; 85,00    ;2004-05-12;2005-05-12;2005-05-02;2005-05-12; 85,00    ;2005-05-12;2006-05-12;2006-05-02;2006-05-12; 85,00    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS1106;PL0000102331;2006-11-12;8,50%;2001-11-12;2002-11-12;2002-10-30;2002-11-12;85,00;2002-11-12;2003-11-12;2003-10-31;2003-11-12; 85,00    ;2003-11-12;2004-11-12;2004-11-02;2004-11-12; 85,00    ;2004-11-12;2005-11-12;2005-11-02;2005-11-14; 85,00    ;2005-11-12;2006-11-12;2006-11-02;2006-11-13; 85,00    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP1206;PL0000102380;2006-12-03;9,00%;2001-12-03;2002-12-03;2002-11-20;2002-12-03;9,00;2002-12-03;2003-12-03;2003-11-20;2003-12-03; 9,00    ;2003-12-03;2004-12-03;2004-11-19;2004-12-03; 9,00    ;2004-12-03;2005-12-03;2005-11-18;2005-12-03; 9,00    ;2005-12-03;2006-12-03;2006-11-20;2006-12-03; 9,00    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0307;PL0000102588;2007-03-01;8,00%;2002-03-01;2003-03-01;2003-02-18;2003-03-01;8,00;2003-03-01;2004-03-01;2004-02-18;2004-03-01; 8,00    ;2004-03-01;2005-03-01;2005-02-18;2005-03-01; 8,00    ;2005-03-01;2006-03-01;2006-02-17;2006-03-01; 8,00    ;2006-03-01;2007-03-01;2007-02-16;2007-03-01; 8,00    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
